variant,tiny,small,medium,large
efficientnet_only,0.7011784511784511,0.781198003327787,0.8770491803278688,0.864963503649635
fpn_cross_mamba,0.8194444444444444,0.8785357737104825,0.9262295081967213,0.9562043795620438
fpn_locality,0.8409090909090909,0.8910149750415973,0.9262295081967213,0.948905109489051
fpn_mamba_full,0.6914983164983165,0.7778702163061564,0.8647540983606558,0.8795620437956204
fpn_standard,0.7394781144781145,0.8153078202995009,0.8852459016393442,0.9197080291970803
inceptentionnet,0.9027777777777778,0.8935108153078203,0.9077868852459017,0.9051094890510949
resnet50,0.6599326599326599,0.8552412645590682,0.9118852459016393,0.8978102189781022
