metric,vs,fpn_mamba_full_mean,other_mean,t,p
auc,inceptentionnet,0.8321005595613777,0.7575323499664798,5.174998898899942,0.03537117069800844
auc,resnet50,0.8321005595613777,0.8678740667471838,-8.841797917677564,0.012551109242656544
auc,efficientnet_only,0.8321005595613777,0.8119622689696416,2.238722446667114,0.15455945377498467
auc,fpn_standard,0.8321005595613777,0.8242626634662047,1.242243122924498,0.3400504605588268
auc,fpn_locality,0.8321005595613777,0.8277598041896078,0.29242000005430074,0.7975112072304887
auc,fpn_cross_mamba,0.8321005595613777,0.8354847424015951,-0.6517163812398916,0.5814700277902303
recall,inceptentionnet,0.735035406049532,0.9020534782159766,-2.507955315904324,0.12894270211135261
recall,resnet50,0.735035406049532,0.7511965691779575,-0.3243135184416634,0.7764778785584036
recall,efficientnet_only,0.735035406049532,0.7467625965672209,-0.1767748671458984,0.8759665283924222
recall,fpn_standard,0.735035406049532,0.7915449260596675,-0.6682064227365786,0.5727933038227437
recall,fpn_locality,0.735035406049532,0.8704633614519213,-2.4760633926003495,0.13165417897452333
recall,fpn_cross_mamba,0.735035406049532,0.8476981621570271,-6.254065934560046,0.02462623082296065
specificity,inceptentionnet,0.7428396263949691,0.5123527868280114,3.268592348140737,0.08222156573988643
specificity,resnet50,0.7428396263949691,0.773036910807229,-0.7943741788569667,0.510263817949098
specificity,efficientnet_only,0.7428396263949691,0.702547998862591,0.8296416699958203,0.4939991308244029
specificity,fpn_standard,0.7428396263949691,0.6641231744126311,1.3037955327096862,0.3221782419898686
specificity,fpn_locality,0.7428396263949691,0.5861152931320842,4.206705329522727,0.052129520706053756
specificity,fpn_cross_mamba,0.7428396263949691,0.621674724137499,17.339566413855234,0.003309507804158462
tiny_recall,inceptentionnet,0.674846983491351,0.9020985890097233,-2.9549131947801017,0.09798394051992676
tiny_recall,resnet50,0.674846983491351,0.6519072903406955,0.37137262129751397,0.7460112975520967
tiny_recall,efficientnet_only,0.674846983491351,0.6914527395853236,-0.20556090429214263,0.8561580688013644
tiny_recall,fpn_standard,0.674846983491351,0.7402347972503227,-0.7113886320594608,0.5506238759390567
tiny_recall,fpn_locality,0.674846983491351,0.8395277771049806,-2.246319376164787,0.15374411482457706
tiny_recall,fpn_cross_mamba,0.674846983491351,0.806885675609487,-5.797674255463017,0.02848531944434475
