variant,n_folds,auc_mean,auc_std,recall_mean,recall_std,specificity_mean,specificity_std,tiny_recall_mean,tiny_recall_std,small_recall_mean,small_recall_std
inceptentionnet,3,0.9072180971610755,0.08145449007360524,0.835848041340741,0.0342664176101203,0.8439256464742835,0.13910293907771468,0.7836255172329013,0.03608310006617637,0.8974244735185697,0.060656268244109884
efficientnet_only,3,0.9783353824835536,0.003469514027956337,0.9061187346556175,0.019662625428235957,0.9714167334210466,0.012490793053028132,0.8557065015996749,0.039253212203420276,0.9637026829155361,0.009444239776182375
fpn_locality,3,0.9831099566735556,0.002489273081157672,0.9172645998823453,0.01932923364377487,0.9704486210452377,0.00549034429293508,0.8772398004048397,0.032463311450103685,0.9728090226060263,0.011969510947609282
fpn_cross_mamba,3,0.981349833517958,0.003929125048382646,0.8974873689511482,0.019467508658220268,0.9795082072587037,0.0024429829964522707,0.8476819980602875,0.04060817781615478,0.9636652743910684,0.009537309769725022
fpn_mamba_full,3,0.9815839212178563,0.0029876622348745546,0.9106648370488325,0.0044957393685959215,0.9741986049757144,0.004133764605324448,0.8658013121908766,0.0034377759393631148,0.9736173859784966,0.008197524239519579
fpn_mamba_full_topk,3,0.9824115257684042,0.001571480770187952,0.9199363908859635,0.013134540486042453,0.9697073155002721,0.013863545522813313,0.8760769140972512,0.02856673564152414,0.9773348580974557,0.008359323081719737
