v1,v2,metric,n,v1_mean,v2_mean,t,p
inceptentionnet,efficientnet_only,auc,3,0.9072180971610755,0.9783353824835536,-1.187586175750965,0.35692006131303
inceptentionnet,efficientnet_only,recall,3,0.835848041340741,0.9061187346556175,-2.7693724424125103,0.10940332303679909
inceptentionnet,efficientnet_only,specificity,3,0.8439256464742835,0.9714167334210466,-1.3017914950404883,0.32274202766462423
inceptentionnet,efficientnet_only,tiny_recall,3,0.7836255172329013,0.8557065015996749,-2.763733659845941,0.10977930530459148
inceptentionnet,efficientnet_only,small_recall,3,0.8974244735185697,0.9637026829155361,-1.4403027660214631,0.28646033060364545
inceptentionnet,fpn_locality,auc,3,0.9072180971610755,0.9831099566735556,-1.312566355652218,0.3197247979623096
inceptentionnet,fpn_locality,recall,3,0.835848041340741,0.9172645998823453,-3.14399027018482,0.08801532253218183
inceptentionnet,fpn_locality,specificity,3,0.8439256464742835,0.9704486210452377,-1.2629969486149875,0.3338943587681033
inceptentionnet,fpn_locality,tiny_recall,3,0.7836255172329013,0.8772398004048397,-4.029927260366406,0.056414941247756076
inceptentionnet,fpn_locality,small_recall,3,0.8974244735185697,0.9728090226060263,-1.6923478266731964,0.23265440022097467
inceptentionnet,fpn_cross_mamba,auc,3,0.9072180971610755,0.981349833517958,-1.2681695514266442,0.3323808736926883
inceptentionnet,fpn_cross_mamba,recall,3,0.835848041340741,0.8974873689511482,-2.376724615161213,0.14062711506165484
inceptentionnet,fpn_cross_mamba,specificity,3,0.8439256464742835,0.9795082072587037,-1.3711438754211813,0.30391034897716285
inceptentionnet,fpn_cross_mamba,tiny_recall,3,0.7836255172329013,0.8476819980602875,-2.0990692192533524,0.1706646287875923
inceptentionnet,fpn_cross_mamba,small_recall,3,0.8974244735185697,0.9636652743910684,-1.5836791755142074,0.2541124837236928
inceptentionnet,fpn_mamba_full,auc,3,0.9072180971610755,0.9815839212178563,-1.2887987615450203,0.3264263143829641
inceptentionnet,fpn_mamba_full,recall,3,0.835848041340741,0.9106648370488325,-2.74634399627973,0.11095037325621941
inceptentionnet,fpn_mamba_full,specificity,3,0.8439256464742835,0.9741986049757144,-1.3597390939675185,0.3069129062534408
inceptentionnet,fpn_mamba_full,tiny_recall,3,0.7836255172329013,0.8658013121908766,-3.403744503019328,0.07653697131232097
inceptentionnet,fpn_mamba_full,small_recall,3,0.8974244735185697,0.9736173859784966,-1.5988156945746705,0.2509747488385041
inceptentionnet,fpn_mamba_full_topk,auc,3,0.9072180971610755,0.9824115257684042,-1.2891275129314117,0.3263324669917739
inceptentionnet,fpn_mamba_full_topk,recall,3,0.835848041340741,0.9199363908859635,-3.1159014486635828,0.08940189262458467
inceptentionnet,fpn_mamba_full_topk,specificity,3,0.8439256464742835,0.9697073155002721,-1.363172722737316,0.3060051066056813
inceptentionnet,fpn_mamba_full_topk,tiny_recall,3,0.7836255172329013,0.8760769140972512,-3.34117474081501,0.07909602470208782
inceptentionnet,fpn_mamba_full_topk,small_recall,3,0.8974244735185697,0.9773348580974557,-1.7799780734534358,0.21703946296661736
efficientnet_only,fpn_locality,auc,3,0.9783353824835536,0.9831099566735556,-2.1236229801968127,0.16767212066819662
efficientnet_only,fpn_locality,recall,3,0.9061187346556175,0.9172645998823453,-16.024171061632625,0.003871870686651305
efficientnet_only,fpn_locality,specificity,3,0.9714167334210466,0.9704486210452377,0.1634742756086027,0.885170854329287
efficientnet_only,fpn_locality,tiny_recall,3,0.8557065015996749,0.8772398004048397,-4.444982039850184,0.04706809381486305
efficientnet_only,fpn_locality,small_recall,3,0.9637026829155361,0.9728090226060263,-3.0545603937810384,0.09254048135482651
efficientnet_only,fpn_cross_mamba,auc,3,0.9783353824835536,0.981349833517958,-1.3121057977677157,0.31985306353883936
efficientnet_only,fpn_cross_mamba,recall,3,0.9061187346556175,0.8974873689511482,12.838803893663323,0.006012022437886426
efficientnet_only,fpn_cross_mamba,specificity,3,0.9714167334210466,0.9795082072587037,-1.1136372975633277,0.38133056417015526
efficientnet_only,fpn_cross_mamba,tiny_recall,3,0.8557065015996749,0.8476819980602875,1.6400328745508421,0.2426795920606456
efficientnet_only,fpn_cross_mamba,small_recall,3,0.9637026829155361,0.9636652743910684,0.00864936135000407,0.9938840923203928
efficientnet_only,fpn_mamba_full,auc,3,0.9783353824835536,0.9815839212178563,-1.2885226959561518,0.32650514693560667
efficientnet_only,fpn_mamba_full,recall,3,0.9061187346556175,0.9106648370488325,-0.28775399207550934,0.8006127760047326
efficientnet_only,fpn_mamba_full,specificity,3,0.9714167334210466,0.9741986049757144,-0.26888087910247455,0.8132184702919588
efficientnet_only,fpn_mamba_full,tiny_recall,3,0.8557065015996749,0.8658013121908766,-0.39844004211723305,0.7288176919648067
efficientnet_only,fpn_mamba_full,small_recall,3,0.9637026829155361,0.9736173859784966,-3.05156754543626,0.0926976175267815
efficientnet_only,fpn_mamba_full_topk,auc,3,0.9783353824835536,0.9824115257684042,-2.620448915953252,0.11997825350613164
efficientnet_only,fpn_mamba_full_topk,recall,3,0.9061187346556175,0.9199363908859635,-2.337359006531019,0.1444182509802007
efficientnet_only,fpn_mamba_full_topk,specificity,3,0.9714167334210466,0.9697073155002721,0.2982365194329533,0.7936534000417934
efficientnet_only,fpn_mamba_full_topk,tiny_recall,3,0.8557065015996749,0.8760769140972512,-2.085598580952582,0.17233729520280786
efficientnet_only,fpn_mamba_full_topk,small_recall,3,0.9637026829155361,0.9773348580974557,-11.7856106926648,0.007122566355806638
fpn_locality,fpn_cross_mamba,auc,3,0.9831099566735556,0.981349833517958,1.6106307803852653,0.24856004555226185
fpn_locality,fpn_cross_mamba,recall,3,0.9172645998823453,0.8974873689511482,202.25637834118612,2.4444413573355516e-05
fpn_locality,fpn_cross_mamba,specificity,3,0.9704486210452377,0.9795082072587037,-4.118764810455574,0.05419967182284615
fpn_locality,fpn_cross_mamba,tiny_recall,3,0.8772398004048397,0.8476819980602875,3.86965169271542,0.06075873579027802
fpn_locality,fpn_cross_mamba,small_recall,3,0.9728090226060263,0.9636652743910684,2.9844180334622834,0.09632564785089749
fpn_locality,fpn_mamba_full,auc,3,0.9831099566735556,0.9815839212178563,3.964434073683167,0.058133555745009335
fpn_locality,fpn_mamba_full,recall,3,0.9172645998823453,0.9106648370488325,0.42713161741862476,0.7108718198328097
fpn_locality,fpn_mamba_full,specificity,3,0.9704486210452377,0.9741986049757144,-0.576274854728733,0.6226392169748542
fpn_locality,fpn_mamba_full,tiny_recall,3,0.8772398004048397,0.8658013121908766,0.5571709693356777,0.6334432843104358
fpn_locality,fpn_mamba_full,small_recall,3,0.9728090226060263,0.9736173859784966,-0.12978248426795622,0.9086139336321699
fpn_locality,fpn_mamba_full_topk,auc,3,0.9831099566735556,0.9824115257684042,0.6644283433357341,0.5747709786301716
fpn_locality,fpn_mamba_full_topk,recall,3,0.9172645998823453,0.9199363908859635,-0.4961160443981705,0.6689712463136653
fpn_locality,fpn_mamba_full_topk,specificity,3,0.9704486210452377,0.9697073155002721,0.08179750948559665,0.9422569330103792
fpn_locality,fpn_mamba_full_topk,tiny_recall,3,0.8772398004048397,0.8760769140972512,0.17201319133549403,0.8792581703667228
fpn_locality,fpn_mamba_full_topk,small_recall,3,0.9728090226060263,0.9773348580974557,-1.5852133484487214,0.25379217285796307
fpn_cross_mamba,fpn_mamba_full,auc,3,0.981349833517958,0.9815839212178563,-0.25570522575251725,0.8220741385280338
fpn_cross_mamba,fpn_mamba_full,recall,3,0.8974873689511482,0.9106648370488325,-0.8475718578989537,0.4859307806932526
fpn_cross_mamba,fpn_mamba_full,specificity,3,0.9795082072587037,0.9741986049757144,1.2254994118021423,0.3451159526537493
fpn_cross_mamba,fpn_mamba_full,tiny_recall,3,0.8476819980602875,0.8658013121908766,-0.687070295894293,0.563010322529768
fpn_cross_mamba,fpn_mamba_full,small_recall,3,0.9636652743910684,0.9736173859784966,-1.4341062701775213,0.2879721394920139
fpn_cross_mamba,fpn_mamba_full_topk,auc,3,0.981349833517958,0.9824115257684042,-0.5829417665999266,0.6189044777855739
fpn_cross_mamba,fpn_mamba_full_topk,recall,3,0.8974873689511482,0.9199363908859635,-4.103215659031574,0.0545781476057225
fpn_cross_mamba,fpn_mamba_full_topk,specificity,3,0.9795082072587037,0.9697073155002721,1.0887785854943117,0.38996474126861275
fpn_cross_mamba,fpn_mamba_full_topk,tiny_recall,3,0.8476819980602875,0.8760769140972512,-3.2275782767036154,0.08406665583434639
fpn_cross_mamba,fpn_mamba_full_topk,small_recall,3,0.9636652743910684,0.9773348580974557,-4.091657024433726,0.05486199368783848
fpn_mamba_full,fpn_mamba_full_topk,auc,3,0.9815839212178563,0.9824115257684042,-0.5781993730258609,0.6215592180727544
